question_id,title,body,tags
1056962,A couple of definite integrals related to Stieltjes constants,"In a (great) paper ""A theorem for the closed-form evaluation of the first generalized Stieltjes constant at rational arguments and some related summations"" by Iaroslav V. Blagouchine, the following integral representation of the first Stieltjes constant $\gamma_1$ is given (on page 539):
$$\gamma_1=-\left[\gamma-\frac{\ln2}2\right]\ln2+i\int_0^\infty\frac{dx}{e^{\pi x}+1}\left\{\frac{\ln(1-ix)}{1-ix}-\frac{\ln(1+ix)}{1+ix}\right\}.\tag1$$
It's possible to get rid of imaginary numbers in this formula, and rewrite it in terms of only real-valued functions:
$$2\int_0^\infty\frac{\arctan x}{1+x^2}\frac{dx}{e^{\pi x}+1}-\int_0^\infty\frac{x\ln(1+x^2)}{1+x^2}\frac{dx}{e^{\pi x}+1}=\gamma_1+\left[\gamma-\frac{\ln2}2\right]\ln2.\tag2$$ Question: Is it possible to find closed forms separately for each integral on the left-hand side of $(2)$?","['closed-form', 'calculus', 'integration', 'definite-integrals', 'stieltjes-constants']"
1056975,"How to Evaluate $\int\frac1{x \ln x+ 7 \ln x} \,\mathrm dx$",I have tried many methods but do not know how to integrate this: $$ \int \frac{1}{x\ln x + 7\ln x} dx $$ with respect to x.,"['calculus', 'integration', 'indefinite-integrals']"
1056982,Probability $A$ is before $B$ when the 26 letters are arranged randomly,"The 26 letters A, B, ... , Z are arrange in a random order. [Equivalently, the letters are selected sequentially at random without replacement.] a) What is the probability that A comes before B in the random order? b) What is the probability that A comes before Z in the random order? c) What is the probability that A comes just before B in the random order? Any help would be much appreciated. I was thinking that for part c the answer would be $1/26$ because we have $25!$ ways of having A right before B and $26!$ total arrangements. Not sure how to proceed with a and b, however. Edit: Thank you. For parts (a) and (b) is there a more formal way of getting $1/2$ ? Such as the formula for the total number of ways we can have $A$ before $B$ over the total number of arrangements? Would it be 25 choose 1 ... 2 choose 1 over $26!$ since we can have a in the first spot and B in any spot after it? Then we can have a in the 2nd spot and B in any spot after it. Also, for part (c), doesn't $A$ have to come immediately before $B$ , so wouldn't the probability be $1/26$ ?","['probability', 'combinatorics']"
1056995,Integral of Rational Functions,"$$\int \frac{dx}{ax^2 + bx + c} \quad \text{for} \quad 4ac-b^2 >0$$
then
$$\begin{align}
ax^2 + bx + c
&= a\biggl(x+\frac{b}{2a}\biggr)^2 + \frac{4ac-b^2}{4a} \\
&= \Biggl(\sqrt{a}\biggl(x+\frac{b}{2a}\biggr)\Biggr)^2 + \Biggl(\sqrt{\frac{4ac-b^2}{4a}}\Biggr)^2
\end{align}$$
implies
$$ \int \frac{dx}{ax^2 + bx + c} = \int \frac{dx}{\Bigl(\sqrt{a}\bigl(x+\frac{b}{2a}\bigr)\Bigr)^2 + \Bigr(\sqrt{\frac{4ac-b^2}{4a}}\Bigr)^2} = \frac{2\sqrt{a}}{\sqrt{4ac-b^2}}\arctan\frac{2ax+b}{\sqrt{4ac-b^2}}
$$
The correct answer does not have the $\sqrt{a}$ in the numerator.  I've checked over my work, but have clearly made some dumb mistake.  Can anyone please let me know where such an error was made?  Thank you for your help!","['algebra-precalculus', 'calculus', 'integration']"
1057003,How to evaluate $\lim\limits_{n\to \infty}\prod\limits_{r=2}^{n}\cos\left(\frac{\pi}{2^{r}}\right)$,"How do I evaluate this limit ?
$$\lim_{n\to \infty}\cos\left(\frac{\pi}{2^{2}}\right)\cos\left(\frac{\pi}{2^{3}}\right)\cdots\cos\left(\frac{\pi}{2^{n}}\right)$$ I assumed it is using this formaula $\displaystyle \cos(A)=\sqrt{\frac{1+\cos(2A)}{2}}$ But I am stuck","['sequences-and-series', 'calculus', 'infinite-product', 'trigonometry', 'limits']"
1057049,"Find the principal value of $\int_{-\infty}^{\infty}\frac{1-\cos x}{x^2}\,\mathrm dx$","How to find the Cauchy principal value of the following integral $$\int_{-\infty}^{\infty}\frac{1-\cos x}{x^2}\,\mathrm dx$$ How to start this problem?","['improper-integrals', 'calculus', 'integration', 'cauchy-principal-value', 'complex-integration']"
1057050,What does a mini circle between f and h(x) mean?,"I am currently doing a math problem and have come across an unfamiliar notation.
A mini circle between $f$ and $h(x)$ The question ask me to find for 'the functions $f(x)=2x-1$ and $h(x)=3x+2$ ' $$f \circ h(x)$$ However, I can't do this as I do not know what the circle notation denotes to.
Does it mean to multiply?","['notation', 'functions']"
1057056,Solve the initial value problem: $\frac{dx}{dt}=2t \sin x$; $x(0)=\frac{\pi}{2}$,"Solve the initial value problem: $\frac{dx}{dt}=2t \sin x$; $x(0)=\frac{\pi}{2}$
I am almost done. But I cannot seem to solve the equation for x(t) in terms of t. 
This is what I got:
$$
\frac{dx}{\sin x}=2tdt\\
\csc x =2tdt\\
-\ln|\csc x+\cot x|=t^2+C\\
\ln \frac{1}{|\csc x+\cot x|}=t^2+C\\
\frac{1}{\csc x+\cot x}=\pm e^Ce^{t^2}
$$ So now I need to know what x(t) is. How do get the expression for x(t)?","['ordinary-differential-equations', 'calculus']"
1057059,If $\lim_{n \to \infty} \sum^n_{k =0} \frac{nC_k}{n^k(k+3)} =ae+b$ [duplicate],This question already has answers here : Evalute $ \lim_{n\rightarrow \infty}\sum^{n}_{k=0}\frac{\binom{n}{k}}{n^k(k+3)} $ (5 answers) Closed 4 years ago . Problem : If $$\lim_{n \to \infty} \sum^n_{k =0} \frac{nC_k}{n^k(k+3)} =ae+b$$ then find the value of a-b. Please suggest how to solve such problem in whicl summation and limits both are there. Thanks.,"['calculus', 'limits']"
1057107,A finite sum over $\pm 1$ vectors,"$$\mbox{What is a nice way to show}\quad
\sum_{\vphantom{\Large A}u\ \in\ \left\{-1,+1\right\}^{N}}
\left\vert\,\sum_{i\ =\ 1}^{N}u_{i}\,\right\vert
= N{N \choose N/2}
\quad\mbox{when}\  N\ \mbox{is even ?.}
$$
Could there be a short inductive proof ?.",['sequences-and-series']
1057120,Bijection $f:\mathbb{N} \to \mathbb{N}.$,"Prove  that there is only  one monоtone bijection $f:\mathbb{N} \to \mathbb{N},  0 \in \mathbb{N}.$ Is $n \mapsto n$ the answer?","['algebra-precalculus', 'elementary-set-theory']"
1057191,Probability of last person taking his own card,"I was asked this question this time at lunch and could not stop thinking about it since then. I could not find the answer, so that's why I am asking here. The story is as following: n people write their name on a card and put it in a box. After everyone has put their card with their name into the box, people will, one by one, grab a card. If a person takes a card with his/her own name, before that person puts his/her own card back in, that person takes another card (guaranteeing that he/she takes a different card now). After taking a different card, that person puts their own card back into the box. So, the question is: what is the chance that the last person who grabs a card, is left with his own card? We could, for example, take 31 persons in total, so n = 31 .",['probability']
1057206,A question about infinities and pots of paint,"This question is inspired by https://math.stackexchange.com/a/1052384/66307 and quotes from it heavily. Take a countably infinite paint box; this means that it has one color of paint for each positive integer; we can therefore call the colors $C_1, C_2, $ and so on.  Take the set of real numbers, and imagine that each real number is painted with one of the colors of paint. Now ask the question: Are there three distinct real numbers $a,b,c$, all painted the same color, such that $$a+b=c$$ Must such  $a,b,c$, not all zero, exist regardless of how cleverly  the numbers are
  actually colored?","['infinitary-combinatorics', 'logic', 'ramsey-theory', 'real-numbers', 'real-analysis']"
1057214,A question on algebraic geometry.,"In a course about algebraic geometry I am taking, a question appeared in class which claimed that $A=\mathbb{C}[x,y]/(xy-1)$ is a field. In order to prove this, one concluded that $xy-1=0 \Leftrightarrow y=1/x$ and so $A=\mathbb{C}[x,y]/(xy-1) = \mathbb{C}[x,\frac {1}{x}]= \text{Frac}A$, and so $A$ is a field since it equals its field of fractions. However there is something I am missing here, I understand that one can obtain alot of information about $A$ by considering the curve $xy-1=0$ but why is it OK to substitute $y$ with $1/x$ in the actual ring? This seems fishy to me, is it really true that $\mathbb{C}[x,y]/(xy-1) = \mathbb{C}[x,\frac {1}{x}]$? (This is notes from class, I assume equality means isomorphic, is this true?)","['algebraic-geometry', 'abstract-algebra']"
1057224,Proving $\lim_{n\to \infty}\int_0^\pi\frac{\sin\left(nx\right)}{1+x^2}dx=0 $,"$$\lim_{n\to \infty}\int_0^\pi\frac{\sin\left(nx\right)}{1+x^2}dx=0 $$ I consider if it can be solved by other methods without Riemann lemma.
I try my best to do it as follow: Let $t=nx$
  $$\lim_{n\to \infty}\int_0^\pi\frac{\sin\left(nx\right)}{1+x^2}dx$$
  \begin{eqnarray} 
&=&\lim_{n\to \infty}\int_0^{n\pi}\frac{\sin\left(t\right)}{1+(\frac{t}{n})^2}d\frac{t}{n}\\
&=&\lim_{n\to \infty}\int_0^{n\pi}\frac{n\sin\left(t\right)}{n^2+t^2}dt\\
&=&\lim_{n\to \infty}\sum_{k=0}^{k=n-1}\int_{k\pi}^{(k+1)\pi}\frac{n\sin\left(t\right)}{n^2+t^2}dt\\
\end{eqnarray} Then I can not go on. Who can tell me how to prove it? Thank you.","['definite-integrals', 'calculus', 'integration', 'limits']"
1057277,Triangles area question,"This question came in RMO, an olympiad in India. I solved it but with the assumption that the lines are parallel, though we are not given this info in the question. In acute $\triangle ABC$, let D be the foot of perpendicular from A on BC. Consider points K, L, M on segment AD such that AK= KL= LM= MD. Suppose the sum of the areas of the shaded region equals the sum of the areas of the unshaded regions in the following picture. Prove that BD= DC. Taken from India Regional Mathematical Olympiad 2014 Question 1 of Region 1 Please help, thank you. This is not a homework question, just saying.","['geometry', 'area']"
1057278,GL_n unique group variety,"Why is every (reduced, separated, of finite type over an algebraically closed field $\bar{k}$) group variety $G/\bar{k}$ such that $G(\bar{k}) \cong GL_n(\bar{k})$ as groups isomorphic to $GL_n/\bar{k}$? My idea was to use that the closed points $G(\bar{k}) \subseteq G$ are dense.",['algebraic-geometry']
1057281,algebraic equivalence of line bundles,"Two line bundles $L,L'$ on $X/k$ are called algebraically equivalent if $L = M|_{X\times t}$ and $ L'=M|_{X\times t'} $ for some line bundle $M$ on $X \times T$ with $T$ smooth and irreducible and two closed points $t,t' \in T$. Why is this relation transitive? My idea was to use $T \times T'$ as a parameter space.",['algebraic-geometry']
1057302,Comparing up-arrow's,"Is it true that $$3\uparrow^{n+1} 3\ >\ n\uparrow^n n $$ holds for every $n\ge 1$ Since $3\uparrow^{n+1}3=3\uparrow ^n 3\uparrow ^n 3$ and $3\uparrow^n3$ is much
 bigger than $n$ for $n\ge 3$, the power tower paradox seems to ensure this
 inequality, but I search for a rigorous proof. Induction does not seem to help here.","['big-numbers', 'hyperoperation', 'number-theory']"
1057304,Which categories of linear representations are semisimple?,"Let $k$ be a field of characteristic $0$. For which smooth algebraic groups $G$ over $k$ does the abelian category of linear representations $\mathsf{Rep}_k(G)$ (not assumed to be finite-dimensional) have the property that every monomorphism splits? Is it true when $G$ is reductive? I am looking for references. PS: There seem to be two definitions of a semisimple abelian category. One says that every object is semisimple, i.e. a direct sum of simple objects. The other says that monomorphisms split. Are these conditions equivalent?","['algebraic-geometry', 'algebraic-groups', 'reference-request', 'abelian-categories']"
1057310,Construct quadrangle with given angles and perpendicular diagonals,"The following came up when I worked on the answer for a different question (though it was ultimately not used in this form): Proposition. Given positive angles $\alpha,\beta,\gamma,\delta$ with $\alpha+\beta+\gamma+\delta=360^\circ$, $\beta<180^\circ$, $180^\circ< \alpha+\beta<270^\circ$, $180^\circ< \beta+\gamma<270^\circ$, there exists a convex quadrangle $ABCD$ with $\angle A=\alpha$, $\angle B=\beta$, $\angle C=\gamma$, $\angle D=\delta$, having $AC\perp BD$. Proof: Ignoring the orthognality condition, there are many possible quadrangles with the given angles that can be continuously transformed into each other. For such let $P$ denote the intersection of $AC$ and $BD$. In the degenerate case $A=B$, we get $\angle CPD=\alpha+\beta-180^\circ<90^\circ$, in the degenerate case $B=C$, we get $\angle DPA=\beta+\gamma-180^\circ<90^\circ$. Then the Intermediate Value Theorem guarantees the existence of a case where $\angle CPD=90^\circ$. $_\square$ My question is: Can someone provide a proof not relying on continuity arguments? That is, something more classic Greek compass-and-straightedge-y constructive? Edit: I had to update and add $\beta<180^\circ$ to the condition in the proposition  - the old version would have allowed $\beta\ge180^\circ$ and so no convex quadrilateral at all. If we allow nonconvex quadrangles and diagonals to interesect in the exterior, this additional condition should be unnecessary.","['geometry', 'geometric-construction', 'alternative-proof']"
1057321,Is the hyperbola isomorphic to the circle?,"Is the ring $B=\mathbb{C}[x,y]/(xy-1)$ isomorphic with $C=\mathbb{C}[x,y]/(x^2+y^2-1)$? I think they shouldn't but all my tryings fail to prove the fact. Are they in fact isomorphic so I may try to prove that. Thanks","['ring-theory', 'algebraic-geometry', 'abstract-algebra']"
1057341,Prove $|\cos^2(z)| + |\sin^2(z)| > 1$ for complex numbers $z$ with nonzero imaginary part,"Prove $$|\cos^2(z)| + |\sin^2(z)| > 1$$ for $\operatorname{Im}(z) \ne 0$ I know from using the triangle inequality, $|x+y| \leq |x| + |y|$, that $|\cos^2(z)| + |\sin^2(z)| \geq 1$ but I don't know how to carry on to show that it is strictly greater than.","['trigonometry', 'complex-numbers', 'inequality', 'complex-analysis']"
1057352,Example of a Countable set which has volume zero.,"The following question was asked in my exam which states: Give an example of a countable set which has volume zero. Hint : show that if $S=\{a_1,a_2,\ldots,a_n,\ldots\}$ is the set of points which form a convergent sequence then S has volume zero. I still can't understand what's the use of a convergent sequence in showing that $S$ has volume zero. Can anyone please help me understanding this...","['multivariable-calculus', 'integration']"
1057355,Which universities teach true infinitesimal calculus?,"My colleague and I are currently teaching ""true infinitesimal calculus"" (TIC), in the sense of calculus with infinitesimals, to a class of about 120 freshmen at our university, based on the book by Keisler .  Two of my colleagues in Belgium are similarly teaching TIC at two universities there. I am also aware of such teaching going on in France in the Strasbourg area, based on Edward Nelson's approach, though I don't have any details on that. Which universities teach true infinitesimal calculus? Anyone with any additional information in this direction is requested to provide it. This is cross-posted here . A colleague in Italy has recently told me about a conference on using infinitesimals in teaching in Italian highschools. This NSA (nonstandard analysis) conference was apparently well attended (over 100 teachers showed up). Anybody with more information about this (who to contact, what the current status of the proposal is, etc.) is hereby requested to provide such information here. Our experiences teaching calculus with infinitesimals were detailed in this 2017 publication in Humanistic Mathematics .","['education', 'calculus', 'reference-request', 'infinitesimals']"
1057371,Differential equation $y' = -2x y+ e^{-x^2}\sin(x)$,Can someone help me solve this equation? $$y' = -2xy + e^{-x^2}\sin(x)$$ Progress I have been trying to solve it with the method of integrating factor.  I get to the point where: $$y'+2xy=e^{-x^2}\sin(x)$$ Then I multiply each with: $e^{x^2}$ . So I'm left with $$e^{x^2}y  = \int  e^{x^2} \sin(x)$$ But from here I'm not sure how I can integrate.,"['ordinary-differential-equations', 'integration']"
1057469,discrete maths-combinatorics,"**Hi..i have a doubt in permutation and combination.. i already know permutation is an a method of arrangement of a set of n objects in a given order that means in permutation order of objects  is important . combination is a method of total ways of doing a particular task ..here order of objects in the selection does not matter. But if  a question is given as  follows how to identify whether this question is of permutation or combination. How many integers between 100 and 999 consist of distinct even digits. I have done as follows
The total no of even digits are(0,2,4,6,8)=5 and a number is identified as even by its last digit. As first digit can not be 0 so it  can take any of the 9 digits(1-10)
Second digit can take 8
3rd digit can take 5
so my answer came out to be 9*8*5. is it correct**","['discrete-mathematics', 'combinatorics']"
1057525,A question regarding sheaf cohomology,"I am trying to understand a statement from http://arxiv.org/abs/1312.1562 , saying
""... $H^1(\Sigma^x,T\Sigma) = 0$ since $H^1(\Sigma^x,\mathcal{O}) = 0$ and the Mittag-Leffler problem is solvable on the non-compact Riemann surface $\Sigma^x = \Sigma\backslash\{X\}$."" (p.16). Here  $\Sigma$ is a compact Riemann surface, $X\in\Sigma$ and $T\Sigma$ is the holomorphic tangent sheaf. To my understanding, the second and third statement of the quote are equivalent, but how does the first one ($H^1(\Sigma^x,T\Sigma) = 0$) follow? Can the holomorphic tangent sheaf of a non-compact Riemann surface be identified with the sheaf of holomorphic functions?","['riemann-surfaces', 'sheaf-cohomology', 'complex-analysis']"
1057526,An example of non-closed subspace of a Hilbert space?,I am reading a book on Hilbert space. It seems that the author assumes that a linear subspace of a Hilbert space can be non-closed. I cannot think of an example. I am still used to the finite-dimensional case. Can anyone give me an example?,"['hilbert-spaces', 'functional-analysis']"
1057580,General strategy for proving that one interval is a subset of another,"I'm trying to show that the set $A=\{A_n\}_{n\in \Bbb N}$ where$A_n = (0,4-\frac 1n)$ is an open cover of $B=[2,4)$ -- I'll then show that there is no finite subcover, but one step at a time.  I've shown that $A$ is open.  I'm just wondering what' the general strategy for proving that every point in an interval is contained in another interval. Would it be fine to show that the supremum of $A$ & $B$ and is $4$ and that $4$ is not a member of either? And then show that the infimum of $A$ is $0$ and the infimum of $B$ is $2$, where $2 \gt 0$.  Would that be fine?  It seems like I should prove that $A$ is an interval (a continuous subset of $\Bbb R$) first.  But then it seems like I need to prove that two continuous subsets of a set are equal iff they have the same inf and sup  and the same max/ min if they contain the max/ min.  And then prove that given two intervals with the same sup but where one has a lower inf, then that one contains the other. I think I'm overthinking this.  What exactly should I be showing here? Thanks.","['elementary-set-theory', 'real-analysis']"
1057587,Decompose $a = a_1\cdots a_k$ and $a_1 + \dots +a_k = 0$,"Problem . Prove that in the field $F, \text{char }F\neq2$ every element $a$ can be decomposed in the following way: $a = a_1\cdots a_k$ and $a_1 + \dots +a_k = 0$. Attempt 1 . For the fields in which $x^2 = \pm a$ has at least one solution I can find this decomposition directly (suppose $x^2 = -a$ has solution). Let's take $a_1 = \sqrt{-a}, a_2=-\sqrt{-a}$. But there are some problems in the fields in which this property does not hold. For example $\mathbb{F}(x)-$ ratioanl functions. I don't know decomposition for instance for $x$ over any field $\mathbb{F}$. Attempt 2 . Let's look at the field like the vector space over $\mathbb{Q}$ if char $F =0$ and over $\mathbb{Z}_p$ if char $F \neq0$ (denote it in each case as $\mathbb{V}$). The idea is to find an element $b$ such that $-b^2a \in \mathbb{V}$. Then we can decompose it directly. But it is also not seems to be true.","['abstract-algebra', 'field-theory']"
1057595,Maximal abelian subalgebras of SAW*-algebras,"Pedersen distilled the following class of C*-algebras which he termed SAW*-algebras: A C*-algebra $A$ is an SAW*-algebra if for each pair of orthogonal, positive elements $x,y\in A$, there exists a positive element $e\in A$ such that $ex=x$ and $(1-e)y=y$. This looks very commutatively, hence my question: Let $B$ be a maximal abelian subalgebra of an SAW*-algebra. Is $B$ an SAW*-algebra? This is the case for AW* algebras which are SAW* a fotriori.","['c-star-algebras', 'operator-algebras', 'functional-analysis', 'open-problem']"
1057606,Possibilities for passwords with at least one lowercase and one uppercase letter [duplicate],"This question already has answers here : How many ways can you create a password of 10 characters long that has at least one lowercase letter (a-z) and at least one number ($0-9$)? (2 answers) Closed last year . Fred needs to choose a password for a certain website. Assume that he will choose an
  8-character password, and that the legal characters are the lowercase letters a, b, c, . . . , z, the uppercase letters A, B, C, . . . , Z, and the numbers 0, 1, . . . , 9.
  (a) How many possibilities are there if he is required to have at least one lowercase letter
  in his password?
  (b) How many possibilities are there if he is required to have at least one lowercase
  letter and at least one uppercase letter in his password?
  (c) How many possibilities are there if he is required to have at least one lowercase
  letter, at least one uppercase letter, and at least one number in his password? (Introduction to Probability, Blitzstein and Nwang, p.38) Part a) is no problem, but I don't know how to define the events for b) and c). Any hint for defining the events to be able to use inclusion-exclusion? EDIT1 Here is how I did part a). The question is how many ways are there to choose a password having at least one lowercase letter. Define $A_i$ as the set of all passwords with lowercase letter at the $i^{th}$ position. $|A_i| = 26^1 \; 62^{8-1}$ $|A_i \cap A_j| = 26^2 \; 62^{8-2}$ $|\cap_{i=1}^8 A_i| = 26^i \; 62^{8-i}$ \begin{equation}
|\cup_{i=1}^8 A_i| = \sum_{i=1}^8 \binom{8}{i} 26^i \; 62^{8-i} (-1)^{i+1}
\end{equation} I would like to solve the other parts in exactly the same manner, however, I don't know how to define my sets $A_i$ etc. in this case. EDIT2 I try part c) with @AlexR's approach: $|C| = |\Omega| - (|\neg U| + |\neg L| + |\neg N|) + (|\neg U \cap \neg L| + |\neg U \cap \neg N| + |\neg L \cap \neg N|) - |\neg U \cap \neg L \cap \neg N| = 62^8 - (36^8 + 36^8 + 52^8) + (10^8 + 26^8 + 26^8) - 0^8$ The probability of this to happen would be $0.7312$.","['probability', 'combinatorics']"
