,title_raw,title_text,title_latex,body_raw,body_text,body_latex,tags
10,Why is $\cos(2x)=\cos^2(x)-\sin^2(x)$ and $\sin(2x)=2\sin(x)\cos(x)$?,Why is  and ?,\cos(2x)=\cos^2(x)-\sin^2(x) \sin(2x)=2\sin(x)\cos(x),"I was studying math.. and I just realized that I only just memorized these trigonometric equations, but I don't really know the reason behind them. So um... Why is $\cos(2x)=\cos^2(x)-\sin^2(x)$ and $\sin(2x)=2\sin(x)\cos(x)$? What happens if $x=3\theta$?  Would the equations change to something like $\cos(6\theta)=\cos^2(3\theta)-\sin^2(3\theta)$ and $\sin(6\theta)=2\sin(3\theta)\cos(3\theta)$?","I was studying math.. and I just realized that I only just memorized these trigonometric equations, but I don't really know the reason behind them. So um... Why is $\cos(2x)=\cos^2(x)-\sin^2(x)$ and $\sin(2x)=2\sin(x)\cos(x)$? What happens if $x=3\theta$?  Would the equations change to something like $\cos(6\theta)=\cos^2(3\theta)-\sin^2(3\theta)$ and $\sin(6\theta)=2\sin(3\theta)\cos(3\theta)$?",,"['calculus', 'trigonometry']"
11,$\int\sin^6(x)\cos(x)dx$.,.,\int\sin^6(x)\cos(x)dx,"$$\int\sin^6(x)\cos(x)\,dx.$$ Apparently... $$\int\sin^6(x)\cos(x)\,dx= \int\sin^6(x)\,d\sin(x)x = \frac{1}{7}\sin^7(x)+c.$$ Can somebody explain the second equality? Shouldn't there be a $dx$ after it?","$$\int\sin^6(x)\cos(x)\,dx.$$ Apparently... $$\int\sin^6(x)\cos(x)\,dx= \int\sin^6(x)\,d\sin(x)x = \frac{1}{7}\sin^7(x)+c.$$ Can somebody explain the second equality? Shouldn't there be a $dx$ after it?",,"['calculus', 'integration', 'trigonometry']"
12,How to simplify $\sin(x-y)\cos(y)+\cos(x-y)\sin(y)$,How to simplify,\sin(x-y)\cos(y)+\cos(x-y)\sin(y),the question How to simplify $\sin(x-y)\cos(y)+\cos(x-y)\sin(y)$ my steps I tried to use trig identities on the $\sin(x-y)$ and $\cos(x-y)$ and tried to distribute the others in but it didn't work. Any ideas?,the question How to simplify $\sin(x-y)\cos(y)+\cos(x-y)\sin(y)$ my steps I tried to use trig identities on the $\sin(x-y)$ and $\cos(x-y)$ and tried to distribute the others in but it didn't work. Any ideas?,,['trigonometry']
13,Find approximation to $\sin(x)$,Find approximation to,\sin(x),"How to find the approximation to $\sin(1.58)$ ? By using the Newton's method $$x_{n+1} = x_{n} - \frac{f(x)}{f'(x)}$$ You always will get $0$. Using this method: $f(x+\Delta x) \approx f(x) + f'(x)dx$ You get $\sin(1.58) \approx 0.5974$ , but that's not very precise. So, is there a method to precisely approximate $\sin(x)$?","How to find the approximation to $\sin(1.58)$ ? By using the Newton's method $$x_{n+1} = x_{n} - \frac{f(x)}{f'(x)}$$ You always will get $0$. Using this method: $f(x+\Delta x) \approx f(x) + f'(x)dx$ You get $\sin(1.58) \approx 0.5974$ , but that's not very precise. So, is there a method to precisely approximate $\sin(x)$?",,"['trigonometry', 'approximation']"
14,Convert trigonometric function to irrational fraction [closed],Convert trigonometric function to irrational fraction [closed],,"Closed. This question does not meet Mathematics Stack Exchange guidelines . It is not currently accepting answers. Please provide additional context , which ideally explains why the question is relevant to you and our  community. Some forms of context include: background and motivation, relevant definitions, source, possible strategies, your current progress, why the question is interesting or important, etc. Closed 1 year ago . Improve this question for example $\cos(\frac\pi6)$ is $\frac{\sqrt3}{2}$ . How can I convert any other trigonometric  function into this type of fraction and preferably without a calculator?","Closed. This question does not meet Mathematics Stack Exchange guidelines . It is not currently accepting answers. Please provide additional context , which ideally explains why the question is relevant to you and our  community. Some forms of context include: background and motivation, relevant definitions, source, possible strategies, your current progress, why the question is interesting or important, etc. Closed 1 year ago . Improve this question for example is . How can I convert any other trigonometric  function into this type of fraction and preferably without a calculator?",\cos(\frac\pi6) \frac{\sqrt3}{2},['trigonometry']
15,In the range $0\leq x \lt 2\pi$ the equation has how many solutions $\sin^8 {x}+\cos^6 {x}=1$,In the range  the equation has how many solutions,0\leq x \lt 2\pi \sin^8 {x}+\cos^6 {x}=1,"In the range $0\leq x \lt 2\pi$ the equation has how many solutions $$\sin^8 {x}+\cos^6 {x}=1$$ What i did $\cos^6 {x}=1-\sin^8 {x}=(1-\sin^4 {x})(1+\sin^4 {x})=(1-\sin^2 {x})(1+\sin^2 {x})(1+\sin^4 {x})$ $\cos^4 {x}=(1+\sin^2 {x})(1+\sin^4 {x}) , \cos^2{x}=0$ $(1-\sin^2{x})^2=(1+\sin^2 {x})(1+\sin^4 {x})$ $-3\sin^2{x}=\sin^6{x}$ Which is not possilbe Is there a trick or something to solve this equation or to know how many solutions are there ?",In the range the equation has how many solutions What i did Which is not possilbe Is there a trick or something to solve this equation or to know how many solutions are there ?,"0\leq x \lt 2\pi \sin^8 {x}+\cos^6 {x}=1 \cos^6 {x}=1-\sin^8 {x}=(1-\sin^4 {x})(1+\sin^4 {x})=(1-\sin^2 {x})(1+\sin^2 {x})(1+\sin^4 {x}) \cos^4 {x}=(1+\sin^2 {x})(1+\sin^4 {x}) , \cos^2{x}=0 (1-\sin^2{x})^2=(1+\sin^2 {x})(1+\sin^4 {x}) -3\sin^2{x}=\sin^6{x}",['trigonometry']
16,"Power of a complex number, find $(\sqrt{3} + i)^{99}$","Power of a complex number, find",(\sqrt{3} + i)^{99},"Question: let $$z = \sqrt{3} + i. $$ Find $$z^{99}.$$ Put your answer in $$a + bi$$ form. My work: $$r = 2$$ $$z = r(\cos \theta + i \sin \theta)  = (2(\cos(\pi/6) + \sin(\pi/6))^{99}  = 2^{99}(\cos(99\pi/6) + i \sin(99\pi/6))$$ Now to get it back to the $$a + bi$$ form, what do I do with the $99$?","Question: let $$z = \sqrt{3} + i. $$ Find $$z^{99}.$$ Put your answer in $$a + bi$$ form. My work: $$r = 2$$ $$z = r(\cos \theta + i \sin \theta)  = (2(\cos(\pi/6) + \sin(\pi/6))^{99}  = 2^{99}(\cos(99\pi/6) + i \sin(99\pi/6))$$ Now to get it back to the $$a + bi$$ form, what do I do with the $99$?",,['trigonometry']
17,How to integrate $\int{\frac{1}{\cos(x)}}dx$ using the substitution $u=\tan\left(\frac{x}2\right)$?,How to integrate  using the substitution ?,\int{\frac{1}{\cos(x)}}dx u=\tan\left(\frac{x}2\right),"So far, I've tried out to reformulate: $$\int{\frac{1}{\cos(x)}}dx$$ to: $$\int{\frac{\sin(x)}{\cos(x)\sin(x)}}dx$$ which is basically: $$\int{\frac{\tan(x)}{\sin(x)}}dx$$ But I'm not sure if this is the right way to go, or if I try something else. Any tips or methods would be very helpful.","So far, I've tried out to reformulate: $$\int{\frac{1}{\cos(x)}}dx$$ to: $$\int{\frac{\sin(x)}{\cos(x)\sin(x)}}dx$$ which is basically: $$\int{\frac{\tan(x)}{\sin(x)}}dx$$ But I'm not sure if this is the right way to go, or if I try something else. Any tips or methods would be very helpful.",,"['calculus', 'integration', 'trigonometry', 'indefinite-integrals', 'substitution']"
18,Why is $(1-\cot 37^\circ)(1-\cot 8^\circ)=2.00000000\cdots$?,Why is ?,(1-\cot 37^\circ)(1-\cot 8^\circ)=2.00000000\cdots,"Apparently,  $$(1-\cot 37^\circ)(1-\cot 8^\circ)=2.00000000000000000\cdots$$ Since it is a $2.0000000000\cdots$ instead of $2$, it isn't exactly $2$. Why is that?","Apparently,  $$(1-\cot 37^\circ)(1-\cot 8^\circ)=2.00000000000000000\cdots$$ Since it is a $2.0000000000\cdots$ instead of $2$, it isn't exactly $2$. Why is that?",,['trigonometry']
19,Why $\cos(-\theta)$ gives positive values while in case of sine it is negative?,Why  gives positive values while in case of sine it is negative?,\cos(-\theta),Why $\cos(-\theta)$ gives positive values while in case of sine it is negative? I mean $\cos(-\theta) = +\cos(\theta)$ $\sin(-\theta) = -\sin(\theta)$ $\tan(-\theta) = -\tan(\theta)$ and please explain General Angles in simple worlds?,Why $\cos(-\theta)$ gives positive values while in case of sine it is negative? I mean $\cos(-\theta) = +\cos(\theta)$ $\sin(-\theta) = -\sin(\theta)$ $\tan(-\theta) = -\tan(\theta)$ and please explain General Angles in simple worlds?,,['trigonometry']
20,solving trigonometric equation $3^{\sin^2(x)}+3^{\cos^2(x)}=4$,solving trigonometric equation,3^{\sin^2(x)}+3^{\cos^2(x)}=4,Please help me to solve this trigonometric equation. $$3^{\sin^2(x)}+3^{\cos^2(x)}=4.$$,Please help me to solve this trigonometric equation. $$3^{\sin^2(x)}+3^{\cos^2(x)}=4.$$,,[]
21,Solving a trigonometric equation,Solving a trigonometric equation,,"I'm solving this equation: $$\sin(3x) = 0$$ The angle is equal to 0, therefore: $$3x=0+2k\pi \space\vee\space3x= (\pi-0)+2k\pi$$ $$x = \frac {2}{3}k\pi \space \vee \space x = \frac {\pi + 2k\pi}{3}$$ Though, the answer is $$x = k\frac {\pi}{3}$$ It looks like the two trigonometric equations have been combined into one. I must have made a mistake. Any hints?","I'm solving this equation: $$\sin(3x) = 0$$ The angle is equal to 0, therefore: $$3x=0+2k\pi \space\vee\space3x= (\pi-0)+2k\pi$$ $$x = \frac {2}{3}k\pi \space \vee \space x = \frac {\pi + 2k\pi}{3}$$ Though, the answer is $$x = k\frac {\pi}{3}$$ It looks like the two trigonometric equations have been combined into one. I must have made a mistake. Any hints?",,['trigonometry']
22,Prove that $\sin (\theta) + \cos(\theta) \ge 1$,Prove that,\sin (\theta) + \cos(\theta) \ge 1,"Let $\theta$ be an arbitrary acute angle. Prove that  $\sin (\theta) + \cos(\theta) \ge 1$. $$\big(\sin (\theta) + \cos (\theta)\big)^2 = 1 + 2 \sin(\theta)\cos(\theta)\ge 0$$ so, \begin{align*}\big(\sin(\theta)) + \cos(\theta)\big)^2 &> 1\\  \big(\sin(\theta)+ \cos(\theta)\big)^2 &\ge 1\end{align*}","Let $\theta$ be an arbitrary acute angle. Prove that  $\sin (\theta) + \cos(\theta) \ge 1$. $$\big(\sin (\theta) + \cos (\theta)\big)^2 = 1 + 2 \sin(\theta)\cos(\theta)\ge 0$$ so, \begin{align*}\big(\sin(\theta)) + \cos(\theta)\big)^2 &> 1\\  \big(\sin(\theta)+ \cos(\theta)\big)^2 &\ge 1\end{align*}",,"['trigonometry', 'inequality']"
23,How to solve $0=\cos{2x}+\cos x$,How to solve,0=\cos{2x}+\cos x,I'm desperately trying to solve $$0=\cos{2x}+\cos x$$ Am I on the right track when I'm this far? $$\cos x(2\cos x+1)=1$$ I don't know where to go from here. What method can I use to further solve the equation? And how do these methods work?,I'm desperately trying to solve $$0=\cos{2x}+\cos x$$ Am I on the right track when I'm this far? $$\cos x(2\cos x+1)=1$$ I don't know where to go from here. What method can I use to further solve the equation? And how do these methods work?,,['trigonometry']
24,$\sin 2\theta +\sin \theta =1$,,\sin 2\theta +\sin \theta =1,"I tried Wolframalpha to solve this equation. The solution is $\theta\approx 0.355$. Since once a wise guy at MSE told me not to trust machines, I would like to know what methods can be used to solve this equation. I would appreciate for a brief explanation. By the way $0\leq\theta\leq\pi/4$. My second question is for any $x>0$ and $x\in\mathbb{R}$, Does $$x\sin 2\theta +\sin \theta =1$$ have a real valued solution for $0\leq\theta\leq\pi/4$?","I tried Wolframalpha to solve this equation. The solution is $\theta\approx 0.355$. Since once a wise guy at MSE told me not to trust machines, I would like to know what methods can be used to solve this equation. I would appreciate for a brief explanation. By the way $0\leq\theta\leq\pi/4$. My second question is for any $x>0$ and $x\in\mathbb{R}$, Does $$x\sin 2\theta +\sin \theta =1$$ have a real valued solution for $0\leq\theta\leq\pi/4$?",,"['calculus', 'trigonometry']"
25,Euler formula and $\sin^3$,Euler formula and,\sin^3,Using the formula: $$e^{i\omega t} = \cos {\omega t} + i\sin{\omega t}$$ I would like to prove that: $$\sin^3\;x =  -\frac{\sin{3x} - 3\sin{x}}{4} $$ However I haven't found any approach to this question. Just converting the first formula to $\sin^3$ doesn't seem to help as I'm still getting $\cos^3$ on the other side. Can anyone help me to guide me on the right way?,Using the formula: $$e^{i\omega t} = \cos {\omega t} + i\sin{\omega t}$$ I would like to prove that: $$\sin^3\;x =  -\frac{\sin{3x} - 3\sin{x}}{4} $$ However I haven't found any approach to this question. Just converting the first formula to $\sin^3$ doesn't seem to help as I'm still getting $\cos^3$ on the other side. Can anyone help me to guide me on the right way?,,"['trigonometry', 'complex-numbers']"
26,Why is $\frac{k \cdot(\sin (A) + \sin(B))}{k \cdot(\sin(A) -\sin(B))} = \frac{a+b}{a-b}$ valid in a triangle?,Why is  valid in a triangle?,\frac{k \cdot(\sin (A) + \sin(B))}{k \cdot(\sin(A) -\sin(B))} = \frac{a+b}{a-b},"This is extracted from my module : In a $\displaystyle\bigtriangleup ABC$, $$\displaystyle \frac{\sin (A) + \sin(B)}{\sin(A) -\sin(B)} = \frac{k \cdot(\sin (A) + \sin(B))}{k \cdot(\sin(A) -\sin(B))} = \frac{a+b}{a-b}$$ where $A,B,C$ are the angles and  $a,b,c$ are the opposite sides,I can't figure out how this step holds valid?","This is extracted from my module : In a $\displaystyle\bigtriangleup ABC$, $$\displaystyle \frac{\sin (A) + \sin(B)}{\sin(A) -\sin(B)} = \frac{k \cdot(\sin (A) + \sin(B))}{k \cdot(\sin(A) -\sin(B))} = \frac{a+b}{a-b}$$ where $A,B,C$ are the angles and  $a,b,c$ are the opposite sides,I can't figure out how this step holds valid?",,['trigonometry']
27,Evaluate $\int \cos^2(x)\tan^3(x) dx$ using trigonometric substitution,Evaluate  using trigonometric substitution,\int \cos^2(x)\tan^3(x) dx,How would I integrate to evaluate $\int \cos^2(x)\tan^3(x) dx$ using trigonometric substitution? I made an attempt by making substitutions such as $$\cos^2(x)=1-\sin^2(x)$$ $$\tan(x) = \frac{\sin(x)}{\cos(x)}$$ and $$\tan^2(x)=1+\sec^2(x)$$ But I couldn't find a way to make it look like an integral I could solve using a $u$ substitution or identity. Could I get some help on this one?,How would I integrate to evaluate using trigonometric substitution? I made an attempt by making substitutions such as and But I couldn't find a way to make it look like an integral I could solve using a substitution or identity. Could I get some help on this one?,\int \cos^2(x)\tan^3(x) dx \cos^2(x)=1-\sin^2(x) \tan(x) = \frac{\sin(x)}{\cos(x)} \tan^2(x)=1+\sec^2(x) u,"['calculus', 'integration']"
28,Value of $x$ in $\sin^{-1}(x)+\sin^{-1}(1-x)=\cos^{-1}(x)$,Value of  in,x \sin^{-1}(x)+\sin^{-1}(1-x)=\cos^{-1}(x),How can we find the value of $x$ in $\sin^{-1}(x)+\sin^{-1}(1-x)=\cos^{-1}(x)$? Note that $\sin^{-1}$ is the inverse sine function. I'm asking for the solution $x$ for this equation. Please work out the solution.,How can we find the value of $x$ in $\sin^{-1}(x)+\sin^{-1}(1-x)=\cos^{-1}(x)$? Note that $\sin^{-1}$ is the inverse sine function. I'm asking for the solution $x$ for this equation. Please work out the solution.,,"['trigonometry', 'inverse']"
29,How to prove $\cos ^6x+3\cos ^2x\space \sin ^2x+\sin ^6x=1$,How to prove,\cos ^6x+3\cos ^2x\space \sin ^2x+\sin ^6x=1,Prove the following equation. \begin{eqnarray} \\\cos ^6x+3\cos ^2x\space \sin ^2x+\sin ^6x=1\\ \end{eqnarray} I can't prove it by many methods I use. Please give me some hints. Thank you for your attention,Prove the following equation. \begin{eqnarray} \\\cos ^6x+3\cos ^2x\space \sin ^2x+\sin ^6x=1\\ \end{eqnarray} I can't prove it by many methods I use. Please give me some hints. Thank you for your attention,,['trigonometry']
30,Show that $\cos \pi = -1$,Show that,\cos \pi = -1,"How can I proof that $\cos \pi = -1$. I know that this is the answer if I type it in my calculator. If I draw the unit cirlce, then the answer is also clear, but is there an more mathematical way to show that $\cos \pi = -1$ ? To add some more context: This is question from a highschool student that I teach. Normally, I try to learn here how she can prove to herself the tricks she has to memorize . And she likes that, but with trigonometry I'm not that skilled, and I have no idea how to proof that $\cos \pi = -1$.","How can I proof that $\cos \pi = -1$. I know that this is the answer if I type it in my calculator. If I draw the unit cirlce, then the answer is also clear, but is there an more mathematical way to show that $\cos \pi = -1$ ? To add some more context: This is question from a highschool student that I teach. Normally, I try to learn here how she can prove to herself the tricks she has to memorize . And she likes that, but with trigonometry I'm not that skilled, and I have no idea how to proof that $\cos \pi = -1$.",,['trigonometry']
31,Sum the series: $ S = \frac{1}{2} \cdot \sin\alpha + \frac{1\cdot 3}{2 \cdot 4} \sin{2\alpha} + \cdots \ \text{ad inf}$,Sum the series:, S = \frac{1}{2} \cdot \sin\alpha + \frac{1\cdot 3}{2 \cdot 4} \sin{2\alpha} + \cdots \ \text{ad inf},How do I sum the following series? $$ S = \frac{1}{2} \cdot \sin\alpha + \frac{1\cdot 3}{2 \cdot 4} \sin{2\alpha} + \frac{1 \cdot 3 \cdot 5}{2 \cdot 4 \cdot 6} \sin{3\alpha} + \cdots \ \text{ad inf}$$,How do I sum the following series? $$ S = \frac{1}{2} \cdot \sin\alpha + \frac{1\cdot 3}{2 \cdot 4} \sin{2\alpha} + \frac{1 \cdot 3 \cdot 5}{2 \cdot 4 \cdot 6} \sin{3\alpha} + \cdots \ \text{ad inf}$$,,"['sequences-and-series', 'trigonometry', 'fourier-series']"
32,$\sin(3x) = \sin(x)$,,\sin(3x) = \sin(x),"I know I'm supposed to do $\sin(3x) - \sin x = 0$ but beyond that I'm stuck.. I tried expanding $\sin(3x)$ but that didn't help. I want the value of $x$ in the interval $[0, 2\pi)$","I know I'm supposed to do $\sin(3x) - \sin x = 0$ but beyond that I'm stuck.. I tried expanding $\sin(3x)$ but that didn't help. I want the value of $x$ in the interval $[0, 2\pi)$",,['trigonometry']
33,Find the range of $A$ if $A=\sin^{20}x+\cos^{48}x$,Find the range of  if,A A=\sin^{20}x+\cos^{48}x,"Find  the range of $A$ if $$A=\sin^{20}x+\cos^{48}x$$ $$ A'=20\sin^{19}x\cos x-48\cos^{47}x\sin x=0\implies5\sin^{19}x\cos x=12\cos^{47}x\sin x\\ \implies5\sin^{18}x=12\cos^{46}x $$ How do I proceed further and prove that $A\in(0,1]$ ? Is it possible to find the range of $A$ without using differentiation ? Note: $\sin^2 x,\cos^2 x\in[0,1]\implies A\in[0,2]$ but $2$ is not ""the"" maximum value of $A$","Find  the range of if How do I proceed further and prove that ? Is it possible to find the range of without using differentiation ? Note: but is not ""the"" maximum value of","A A=\sin^{20}x+\cos^{48}x 
A'=20\sin^{19}x\cos x-48\cos^{47}x\sin x=0\implies5\sin^{19}x\cos x=12\cos^{47}x\sin x\\
\implies5\sin^{18}x=12\cos^{46}x
 A\in(0,1] A \sin^2 x,\cos^2 x\in[0,1]\implies A\in[0,2] 2 A","['trigonometry', 'inequality', 'polynomials', 'maxima-minima']"
